test,h0,ha,lrs,pval
Bathyteuthis,-156044.326088,-156044.326088,0,0.5
Groenlandibelus,-155990.760988,-155974.27539,32.9711959999986,4.67672056636559e-09
Idiosepius,-156004.882774,-156004.716288,0.332972000003792,0.281957142580614
Loliginidae,-155953.579494,-155945.48194,16.1951080000144,2.85707445881189e-05
Oegop_Bathy,-156012.113342,-156005.062248,14.1021879999898,8.6571131269586e-05
Oegopsida,-156033.433015,-156028.587805,9.69041999999899,0.00092615598006579
Ommastrepidae,-156027.392764,-156027.304049,0.177429999981541,0.336795612225414
Sepiida,-155926.732074,-155898.285633,56.8928820000147,2.3037127760972e-14
Sepiolida,-156021.713944,-156021.713944,0,0.5
Vampyroteuthis,-156007.753047,-156007.753047,0,0.5
