k,p0,p1,p2a,p2b,w0,w2
1.862210,0.877450,0.020110,0.100140,0.002300,0.023060,999.000000
1.869090,0.895940,0.022330,0.079740,0.001990,0.023120,999.000000
1.879340,0.902470,0.021290,0.074480,0.001760,0.023850,999.000000
1.894650,0.854510,0.014790,0.128470,0.002220,0.023340,999.000000
1.915520,0.917930,0.019210,0.061570,0.001290,0.022680,999.000000
1.892140,0.902980,0.021000,0.074290,0.001730,0.021750,999.000000
1.922330,0.846860,0.020260,0.129770,0.003110,0.024290,999.000000
1.893200,0.861610,0.016750,0.119320,0.002320,0.021490,999.000000
1.912160,0.880220,0.027400,0.089590,0.002790,0.023090,999.000000
1.891250,0.871840,0.021420,0.104180,0.002560,0.023320,999.000000
1.955270,0.827620,0.020750,0.147920,0.003710,0.024050,999.000000
1.949730,0.909760,0.019440,0.069310,0.001480,0.022000,999.000000
1.954080,0.870560,0.026280,0.100140,0.003020,0.023900,999.000000
1.997730,0.915570,0.021340,0.061660,0.001440,0.022570,999.000000
1.921070,0.914690,0.016650,0.067440,0.001230,0.022570,999.000000
1.885750,0.922060,0.012910,0.064130,0.000900,0.023150,999.000000
1.928900,0.871000,0.021770,0.104610,0.002610,0.025050,999.000000
1.891550,0.921630,0.023680,0.053330,0.001370,0.023740,999.000000
1.957900,0.902320,0.019280,0.076760,0.001640,0.022820,999.000000
1.955790,0.900010,0.021500,0.076660,0.001830,0.024320,999.000000
1.981760,0.895550,0.023900,0.078460,0.002090,0.022110,999.000000
1.936960,0.908640,0.018630,0.071270,0.001460,0.023790,999.000000
1.911860,0.891810,0.019180,0.087130,0.001870,0.021370,999.000000
2.053130,0.876770,0.017580,0.103580,0.002080,0.022600,999.000000
1.943590,0.873500,0.022540,0.101350,0.002620,0.021810,999.000000
1.927680,0.858480,0.020330,0.118400,0.002800,0.023740,999.000000
1.942080,0.875580,0.018510,0.103720,0.002190,0.021930,999.000000
2.043630,0.905770,0.017510,0.075270,0.001450,0.022260,999.000000
1.922600,0.878800,0.017420,0.101770,0.002020,0.021820,999.000000
1.962120,0.901110,0.019080,0.078160,0.001650,0.023600,999.000000
2.018740,0.893650,0.025290,0.078830,0.002230,0.023610,999.000000
2.023850,0.897370,0.019460,0.081400,0.001760,0.023260,999.000000
1.940580,0.917620,0.025530,0.055320,0.001540,0.023430,999.000000
1.972610,0.882810,0.018870,0.096260,0.002060,0.021640,999.000000
1.932800,0.858590,0.021740,0.116710,0.002960,0.023410,999.000000
1.858780,0.886600,0.024730,0.086260,0.002410,0.024440,999.000000
1.964290,0.822290,0.017520,0.156850,0.003340,0.024530,999.000000
1.916680,0.899020,0.023110,0.075920,0.001950,0.022600,999.000000
1.902500,0.921650,0.021100,0.055970,0.001280,0.023340,999.000000
1.864750,0.883750,0.015720,0.098780,0.001760,0.022800,999.000000
1.933430,0.895470,0.023180,0.079300,0.002050,0.022290,999.000000
1.788810,0.885640,0.023250,0.088780,0.002330,0.024700,999.000000
2.009930,0.896970,0.025040,0.075880,0.002120,0.022510,999.000000
1.822860,0.873570,0.017950,0.106300,0.002180,0.024340,999.000000
1.957760,0.815470,0.017110,0.163990,0.003440,0.022900,999.000000
1.965450,0.894240,0.023510,0.080140,0.002110,0.023960,999.000000
1.973990,0.895240,0.022610,0.080130,0.002020,0.024460,999.000000
1.871500,0.870610,0.019550,0.107430,0.002410,0.024030,999.000000
2.037260,0.896260,0.022790,0.078940,0.002010,0.021700,999.000000
1.909800,0.855550,0.023510,0.117710,0.003230,0.023100,999.000000
1.939080,0.901940,0.021660,0.074620,0.001790,0.022740,999.000000
1.901470,0.894860,0.024360,0.078640,0.002140,0.023570,999.000000
1.957240,0.882420,0.025290,0.089720,0.002570,0.022560,999.000000
1.936000,0.921260,0.021910,0.055510,0.001320,0.021710,999.000000
1.886480,0.909790,0.021090,0.067550,0.001570,0.022580,999.000000
1.949480,0.862150,0.021670,0.113320,0.002850,0.022890,999.000000
1.947240,0.882600,0.020690,0.094500,0.002210,0.022440,999.000000
1.900520,0.892260,0.018300,0.087640,0.001800,0.022180,999.000000
1.838570,0.901480,0.021110,0.075640,0.001770,0.023120,999.000000
1.832810,0.895280,0.017970,0.085040,0.001710,0.022460,999.000000
2.036070,0.839400,0.025490,0.131130,0.003980,0.024170,999.000000
2.036740,0.871700,0.023700,0.101830,0.002770,0.023300,999.000000
1.974860,0.870950,0.019950,0.106660,0.002440,0.023250,999.000000
1.966150,0.860150,0.022390,0.114480,0.002980,0.022020,999.000000
1.890510,0.907730,0.019430,0.071310,0.001530,0.023350,999.000000
1.917290,0.903290,0.015730,0.079590,0.001390,0.021590,999.000000
1.947920,0.889590,0.019660,0.088790,0.001960,0.022240,999.000000
1.920970,0.886840,0.025290,0.085430,0.002440,0.022690,999.000000
1.923280,0.858660,0.026320,0.111600,0.003420,0.023370,999.000000
1.866520,0.903390,0.022200,0.072620,0.001780,0.024430,999.000000
1.920820,0.886980,0.021660,0.089190,0.002180,0.023160,999.000000
2.002350,0.900170,0.022510,0.075430,0.001890,0.021890,999.000000
1.970200,0.882920,0.019950,0.094990,0.002150,0.022810,999.000000
1.898700,0.899570,0.021960,0.076590,0.001870,0.024280,999.000000
1.948340,0.874750,0.023780,0.098790,0.002690,0.023370,999.000000
1.968150,0.905390,0.031520,0.060960,0.002120,0.023510,999.000000
1.908130,0.931820,0.018950,0.048250,0.000980,0.023650,999.000000
1.941090,0.848360,0.019780,0.128850,0.003000,0.022670,999.000000
1.979780,0.883430,0.022760,0.091450,0.002360,0.023130,999.000000
1.921110,0.871630,0.020140,0.105780,0.002440,0.023400,999.000000
1.926840,0.894290,0.018430,0.085520,0.001760,0.022470,999.000000
1.941000,0.876350,0.023700,0.097320,0.002630,0.021720,999.000000
1.976690,0.885850,0.018650,0.093530,0.001970,0.020720,999.000000
1.861360,0.885100,0.019620,0.093220,0.002070,0.022850,999.000000
1.965880,0.895140,0.026870,0.075710,0.002270,0.022830,999.000000
1.873910,0.882890,0.017120,0.098080,0.001900,0.022510,999.000000
2.020670,0.884920,0.025810,0.086740,0.002530,0.023850,999.000000
1.976070,0.898440,0.023860,0.075680,0.002010,0.024560,999.000000
1.920170,0.908570,0.018530,0.071450,0.001460,0.022900,999.000000
2.051170,0.848420,0.021750,0.126590,0.003250,0.023180,999.000000
2.002830,0.899890,0.017490,0.081040,0.001580,0.022890,999.000000
2.050360,0.883450,0.017420,0.097210,0.001920,0.023320,999.000000
1.851180,0.850770,0.011390,0.136020,0.001820,0.021550,999.000000
1.829150,0.877150,0.016250,0.104660,0.001940,0.023330,999.000000
1.947680,0.847340,0.017330,0.132610,0.002710,0.024220,999.000000
1.947480,0.915220,0.024020,0.059210,0.001550,0.022960,999.000000
1.878280,0.886820,0.019790,0.091350,0.002040,0.021750,999.000000
1.802280,0.897380,0.019130,0.081740,0.001740,0.024840,999.000000
1.970920,0.867150,0.021830,0.108290,0.002730,0.023240,999.000000
1.957380,0.864620,0.018630,0.114290,0.002460,0.021920,999.000000
