k,p0,p1,p2a,p2b,w0,w2
1.948650,0.877070,0.019140,0.101570,0.002220,0.023440,16.157290
1.883550,0.865710,0.019410,0.112360,0.002520,0.022370,999.000000
1.943790,0.856410,0.020680,0.120010,0.002900,0.023680,3.412530
1.832200,0.814980,0.020630,0.160330,0.004060,0.023360,3.489300
1.953000,0.835180,0.016850,0.145040,0.002930,0.023450,15.140730
1.982280,0.869050,0.020770,0.107610,0.002570,0.021590,3.973800
1.953840,0.882080,0.020590,0.095110,0.002220,0.022640,17.770680
1.849830,0.840610,0.015890,0.140840,0.002660,0.021850,12.666450
2.013520,0.854380,0.013570,0.129980,0.002070,0.021970,5.030640
1.963680,0.833520,0.016340,0.147250,0.002890,0.021270,999.000000
1.901060,0.885240,0.027750,0.084360,0.002650,0.024220,12.377010
2.054980,0.874280,0.020870,0.102400,0.002440,0.022970,4.595010
1.949140,0.852210,0.019040,0.125930,0.002810,0.022980,7.211050
1.885660,0.893430,0.017580,0.087270,0.001720,0.023660,10.762430
1.873930,0.868340,0.023440,0.105380,0.002840,0.023570,21.838710
1.885760,0.856460,0.019700,0.121060,0.002780,0.022570,4.976600
1.918870,0.862700,0.017680,0.117220,0.002400,0.021840,3.728500
1.914650,0.876200,0.016220,0.105620,0.001960,0.022250,999.000000
1.851190,0.866130,0.015870,0.115880,0.002120,0.022890,3.607380
1.899720,0.878650,0.017150,0.102200,0.002000,0.022310,3.388170
1.900440,0.885300,0.015760,0.097210,0.001730,0.021500,3.533240
1.892210,0.899670,0.024680,0.073630,0.002020,0.023550,3.717490
1.857570,0.861470,0.013750,0.122830,0.001960,0.022410,4.203990
1.992380,0.838270,0.020000,0.138420,0.003300,0.023920,999.000000
1.828440,0.885620,0.019000,0.093370,0.002000,0.021150,8.726930
1.902440,0.841710,0.017050,0.138440,0.002800,0.022240,11.439370
1.982900,0.840500,0.015160,0.141780,0.002560,0.021800,10.392120
1.948320,0.878640,0.024290,0.094460,0.002610,0.022700,7.192810
1.911290,0.917580,0.018690,0.062460,0.001270,0.023100,3.185040
1.894960,0.891910,0.018350,0.087930,0.001810,0.021910,58.850090
1.934360,0.853110,0.014120,0.130610,0.002160,0.023690,4.266170
1.901370,0.861870,0.017060,0.118730,0.002350,0.023120,7.242880
1.869550,0.819540,0.017460,0.159600,0.003400,0.022020,5.314700
1.911900,0.850900,0.020500,0.125570,0.003030,0.022350,8.834890
