k,p0,p1,p2a,p2b,w0,w2
1.885450,0.887580,0.021980,0.088250,0.002190,0.024280,999.000000
1.864300,0.935980,0.019260,0.043860,0.000900,0.024480,999.000000
1.940740,0.000000,0.000000,0.979630,0.020370,0.023980,732.885010
1.837770,0.837640,0.017940,0.141390,0.003030,0.023120,90.105590
1.966220,0.889520,0.018460,0.090140,0.001870,0.021450,999.000000
1.992490,0.929090,0.014280,0.055770,0.000860,0.022530,999.000000
1.913920,0.896000,0.019230,0.082990,0.001780,0.021830,999.000000
2.031990,0.878330,0.022020,0.097220,0.002440,0.022200,999.000000
1.906470,0.924120,0.024260,0.050310,0.001320,0.023390,999.000000
1.828960,0.903940,0.023400,0.070830,0.001830,0.023210,999.000000
1.872300,0.918590,0.016530,0.063740,0.001150,0.023270,999.000000
1.918800,0.927070,0.023300,0.048410,0.001220,0.022550,999.000000
2.016930,0.845900,0.018370,0.132840,0.002890,0.024120,999.000000
1.914050,0.910340,0.017250,0.071060,0.001350,0.023090,999.000000
1.961750,0.891620,0.027170,0.078820,0.002400,0.024390,999.000000
1.907780,0.901080,0.024750,0.072180,0.001980,0.021210,999.000000
1.857680,0.924340,0.020040,0.054440,0.001180,0.022560,999.000000
1.946200,0.000000,0.000000,0.977390,0.022610,0.022560,86.086420
1.935690,0.914210,0.020500,0.063850,0.001430,0.023770,999.000000
1.924070,0.936410,0.022650,0.039980,0.000970,0.021630,999.000000
1.947840,0.927790,0.019940,0.051170,0.001100,0.023120,999.000000
1.908410,0.881400,0.020850,0.095500,0.002260,0.025340,999.000000
1.871790,0.894890,0.021480,0.081670,0.001960,0.022640,999.000000
1.859800,0.917000,0.025010,0.056460,0.001540,0.023310,999.000000
1.867730,0.876760,0.025360,0.095130,0.002750,0.022950,999.000000
1.910080,0.772510,0.012360,0.211750,0.003390,0.023910,999.000000
1.921860,0.909960,0.019900,0.068640,0.001500,0.022790,999.000000
1.900240,0.912540,0.021150,0.064800,0.001500,0.022620,999.000000
1.879370,0.929770,0.020840,0.048310,0.001080,0.024070,999.000000
2.090960,0.938160,0.029160,0.031690,0.000990,0.022750,999.000000
1.900320,0.886480,0.026270,0.084730,0.002510,0.024220,999.000000
1.987910,0.914360,0.022720,0.061400,0.001530,0.022520,999.000000
2.019460,0.901210,0.022630,0.074300,0.001870,0.022450,999.000000
