k,p0,p1,p2a,p2b,w0,w2
1.877790,0.900080,0.026230,0.071610,0.002090,0.024060,999.000000
1.964720,0.929670,0.025820,0.043310,0.001200,0.022520,999.000000
1.818480,0.935650,0.023070,0.040290,0.000990,0.023360,999.000000
1.875840,0.953490,0.019150,0.026810,0.000540,0.022600,31.441300
1.942000,0.930630,0.024470,0.043740,0.001150,0.022400,17.589470
2.114030,0.917090,0.027530,0.053760,0.001610,0.022820,61.398280
1.812760,0.955300,0.018060,0.026140,0.000490,0.023360,22.383500
1.839610,0.950520,0.022170,0.026690,0.000620,0.023510,19.281890
1.824310,0.005160,0.000100,0.975270,0.019470,0.023190,1.000000
1.988230,0.869890,0.020320,0.107280,0.002510,0.024480,1.309500
1.896620,0.941650,0.021660,0.035860,0.000830,0.022710,999.000000
2.026050,0.957320,0.017270,0.024970,0.000450,0.022780,22.175430
2.033090,0.908050,0.024420,0.065770,0.001770,0.022560,2.026720
1.907560,0.954460,0.020790,0.024220,0.000530,0.024530,999.000000
1.775380,0.949370,0.018730,0.031290,0.000620,0.024230,999.000000
1.962230,0.953620,0.017150,0.028710,0.000520,0.021770,999.000000
1.899260,0.948910,0.021400,0.029040,0.000650,0.023160,15.931270
1.911540,0.875810,0.018410,0.103600,0.002180,0.024160,999.000000
1.918330,0.956390,0.019640,0.023490,0.000480,0.023640,39.790620
1.871800,0.949810,0.019700,0.029870,0.000620,0.023200,20.302650
1.948060,0.937960,0.026200,0.034870,0.000970,0.022890,999.000000
2.003680,0.947210,0.027430,0.024640,0.000710,0.021940,17.983530
1.919410,0.952250,0.018320,0.028880,0.000560,0.021800,51.488130
1.959610,0.932000,0.025240,0.041640,0.001130,0.023130,999.000000
1.896250,0.821340,0.020820,0.153930,0.003900,0.023360,999.000000
1.808470,0.955510,0.022490,0.021490,0.000510,0.023570,11.353270
1.981200,0.949300,0.022820,0.027230,0.000650,0.022560,999.000000
1.869310,0.949230,0.019360,0.030780,0.000630,0.024700,8.418860
1.991730,0.000000,0.000000,0.971290,0.028710,0.023310,112.412390
