k,p0,p1,p2a,p2b,w0,w2
1.962940,0.857990,0.017450,0.122080,0.002480,0.021560,999.000000
1.887180,0.868180,0.018750,0.110690,0.002390,0.023700,999.000000
1.959500,0.841650,0.019790,0.135370,0.003180,0.022190,999.000000
1.863330,0.850290,0.017480,0.129570,0.002660,0.022190,999.000000
1.820920,0.885260,0.011710,0.101690,0.001340,0.023420,999.000000
1.858480,0.869760,0.027150,0.099980,0.003120,0.024150,999.000000
1.888920,0.848010,0.016730,0.132640,0.002620,0.021740,999.000000
2.058750,0.868580,0.022320,0.106370,0.002730,0.021400,999.000000
1.909220,0.893830,0.023440,0.080620,0.002110,0.023170,999.000000
1.904270,0.839880,0.019600,0.137310,0.003200,0.023240,999.000000
1.942560,0.861170,0.020270,0.115830,0.002730,0.023330,999.000000
1.905040,0.851110,0.017970,0.128210,0.002710,0.023540,999.000000
1.914550,0.848970,0.020790,0.127130,0.003110,0.023420,999.000000
1.939850,0.876860,0.019250,0.101650,0.002230,0.022580,999.000000
1.937770,0.874260,0.016850,0.106830,0.002060,0.021270,999.000000
1.953770,0.869260,0.020560,0.107640,0.002550,0.022980,999.000000
1.833540,0.859540,0.025040,0.112150,0.003270,0.023230,999.000000
1.922460,0.863160,0.020300,0.113860,0.002680,0.023550,999.000000
1.914710,0.869820,0.025250,0.101970,0.002960,0.022850,999.000000
1.889840,0.864510,0.021780,0.110920,0.002790,0.024150,999.000000
1.897260,0.884130,0.014660,0.099560,0.001650,0.021970,999.000000
1.991060,0.847920,0.023340,0.125280,0.003450,0.023770,999.000000
2.090990,0.894910,0.022710,0.080340,0.002040,0.022500,999.000000
2.016160,0.869640,0.020070,0.107810,0.002490,0.022740,999.000000
1.902280,0.821470,0.023820,0.150350,0.004360,0.022420,999.000000
1.944600,0.881140,0.022970,0.093450,0.002440,0.022820,999.000000
1.927240,0.855500,0.018770,0.123020,0.002700,0.022200,999.000000
1.998360,0.861120,0.025210,0.110440,0.003230,0.022830,999.000000
1.805130,0.872740,0.022240,0.102410,0.002610,0.022040,999.000000
1.982550,0.838750,0.021010,0.136820,0.003430,0.022520,999.000000
1.992220,0.848760,0.022630,0.125270,0.003340,0.023680,999.000000
1.916460,0.873700,0.022970,0.100680,0.002650,0.025390,999.000000
1.877500,0.871670,0.020610,0.105230,0.002490,0.023830,999.000000
1.895480,0.886540,0.017100,0.094540,0.001820,0.021970,999.000000
1.940250,0.875960,0.019950,0.101770,0.002320,0.022310,999.000000
2.008320,0.862450,0.015390,0.120020,0.002140,0.021950,999.000000
1.869210,0.873380,0.016840,0.107710,0.002080,0.022260,999.000000
2.057950,0.873210,0.016840,0.107870,0.002080,0.021280,999.000000
1.874050,0.846760,0.022930,0.126870,0.003440,0.023220,999.000000
1.911130,0.852610,0.026160,0.117630,0.003610,0.022780,999.000000
1.895610,0.854640,0.014330,0.128870,0.002160,0.021840,999.000000
1.931810,0.858920,0.021600,0.116550,0.002930,0.021940,999.000000
1.887770,0.891130,0.017710,0.089380,0.001780,0.022150,999.000000
1.845490,0.857410,0.022140,0.117430,0.003030,0.021880,999.000000
1.953990,0.822680,0.019440,0.154230,0.003650,0.022100,999.000000
1.965240,0.819780,0.020570,0.155740,0.003910,0.023000,999.000000
1.940110,0.803390,0.019240,0.173220,0.004150,0.022160,999.000000
1.907930,0.857680,0.018930,0.120730,0.002660,0.023380,999.000000
1.997430,0.879630,0.015570,0.102970,0.001820,0.022060,999.000000
1.901880,0.849410,0.021340,0.126080,0.003170,0.024240,999.000000
1.921030,0.865380,0.020250,0.111760,0.002620,0.024220,999.000000
1.911700,0.856920,0.022800,0.117160,0.003120,0.023330,999.000000
1.942220,0.879860,0.020190,0.097710,0.002240,0.022480,999.000000
1.914750,0.878090,0.016970,0.102950,0.001990,0.021500,999.000000
2.017680,0.859550,0.023500,0.113840,0.003110,0.022240,999.000000
2.008370,0.867960,0.020930,0.108490,0.002620,0.021750,999.000000
1.947250,0.863060,0.017130,0.117470,0.002330,0.022500,999.000000
1.911330,0.861830,0.022340,0.112900,0.002930,0.023810,999.000000
1.914860,0.841370,0.022750,0.132310,0.003580,0.023490,999.000000
1.887090,0.866760,0.015780,0.115370,0.002100,0.022740,999.000000
1.903880,0.865490,0.022030,0.109680,0.002790,0.023160,999.000000
1.932620,0.837480,0.024450,0.134150,0.003920,0.022830,999.000000
1.856930,0.851690,0.020970,0.124280,0.003060,0.023910,999.000000
1.994990,0.863710,0.023910,0.109360,0.003030,0.021520,999.000000
1.902260,0.847510,0.022220,0.126940,0.003330,0.023550,999.000000
1.836230,0.847940,0.015480,0.134130,0.002450,0.023010,999.000000
1.941610,0.823770,0.021420,0.150890,0.003920,0.023710,999.000000
1.993030,0.854340,0.017160,0.125970,0.002530,0.021330,999.000000
1.840190,0.815300,0.016350,0.165040,0.003310,0.023770,999.000000
1.793780,0.868120,0.020290,0.109040,0.002550,0.022220,999.000000
1.878670,0.859930,0.018800,0.118680,0.002590,0.022930,999.000000
1.925180,0.859350,0.022450,0.115180,0.003010,0.023460,999.000000
