null,c0,c5,c25
-6029.398135,-6029.398135,-6030.003244,-6031.211449
-5879.969151,-5875.191098,-5875.947040,-5877.138529
-5976.439119,-5976.439119,-5976.549005,-5976.972548
-5971.218205,-5971.218205,-5972.558411,-5972.558411
-5964.669271,-5964.669271,-5965.985220,-5969.035338
-5987.543148,-5987.543148,-5989.351061,-5990.780850
-5894.832667,-5894.639025,-5895.706843,-5897.418346
-5854.993161,-5854.969243,-5855.553280,-5857.390733
-5931.039755,-5930.820176,-5932.129655,-5935.099768
-5932.938071,-5931.933786,-5933.265039,-5935.245047
-6012.731511,-6012.514989,-6013.862603,-6014.782908
-5932.835734,-5932.791926,-5933.413429,-5936.023752
-5963.696639,-5963.696639,-5966.298085,-5970.385348
-5933.303638,-5933.303638,-5934.014224,-5936.103110
-5792.877109,-5792.877110,-5793.924401,-5793.924401
-5927.009850,-5927.009850,-5927.147048,-5927.147048
-5849.168560,-5849.168560,-5850.885662,-5854.715225
-5990.284633,-5990.284633,-5991.331163,-5995.291299
-5863.749745,-5863.749745,-5863.937916,-5864.098094
-5953.157269,-5953.157269,-5956.242609,-5963.668674
-5956.341062,-5956.341062,-5958.684543,-5958.684543
-5940.083158,-5940.083158,-5940.273094,-5940.273094
-5906.150895,-5906.150895,-5906.931688,-5906.931688
-5959.585126,-5959.585126,-5960.448223,-5962.595944
-5965.992672,-5965.992672,-5966.048566,-5966.048566
-5867.088196,-5867.088196,-5867.713580,-5869.096566
-5899.024057,-5897.130610,-5898.725635,-5900.920991
-5959.787833,-5959.787833,-5960.492151,-5960.492151
-6070.177679,-6070.177679,-6070.225159,-6070.225159
-5763.232308,-5763.232308,-5764.017025,-5766.090842
-5979.908116,-5979.908116,-5980.379890,-5980.504930
-6076.349491,-6076.349491,-6077.848797,-6081.670101
-5958.651285,-5958.651285,-5959.944157,-5963.986622
-6014.413236,-6014.392796,-6015.171087,-6017.741609
-5968.525983,-5965.672236,-5970.375718,-5968.405670
-5965.165953,-5965.165953,-5965.930252,-5967.474937
-5929.503529,-5929.503529,-5929.810003,-5931.505552
-5841.300215,-5841.300215,-5842.290560,-5843.864290
-6093.069765,-6093.064574,-6093.361214,-6094.701111
-5933.644656,-5933.644656,-5935.261467,-5936.113011
-5931.170056,-5931.170056,-5933.111794,-5936.816809
-5956.476091,-5956.476091,-5956.630904,-5957.301006
-5986.802696,-5986.802696,-5986.998051,-5986.998051
-5973.940273,-5973.940273,-5974.718306,-5976.324363
-6016.848454,-6016.848454,-6018.706304,-6021.501762
-5887.095568,-5887.095568,-5888.892304,-5892.427146
-5987.681010,-5987.681010,-5990.742379,-5994.663427
-6024.821973,-6024.821973,-6026.191493,-6026.191493
-5907.765459,-5907.765459,-5908.652110,-5908.652110
-6037.966976,-6037.966976,-6039.557070,-6041.040088
-6035.602091,-6035.602091,-6037.437938,-6039.019749
-6100.191540,-6100.191540,-6101.271606,-6101.271606
-5838.233776,-5838.233776,-5838.246884,-5838.250416
-6127.137889,-6126.736709,-6129.070746,-6133.564899
-5904.389201,-5904.389201,-5906.416678,-5906.416678
-5969.192740,-5969.017444,-5969.742881,-5971.682026
-5859.989520,-5859.989520,-5860.711200,-5862.557103
-6020.039762,-6020.039762,-6021.700519,-6024.562850
-6012.004133,-6012.004133,-6014.276025,-6022.281301
-5936.165454,-5936.165454,-5937.742843,-5940.527195
-5912.382561,-5911.703907,-5913.498484,-5914.115652
-5926.348566,-5926.346405,-5926.617266,-5928.513359
-6064.233572,-6064.233572,-6064.737199,-6066.217981
-5983.115212,-5982.367962,-5982.566517,-5983.045984
-5941.622005,-5941.000994,-5942.839656,-5945.200029
-5953.789476,-5953.789476,-5955.845119,-5959.261709
-5975.187032,-5975.187000,-5976.024066,-5977.685764
