p0,p1,p2a,p2b,w0_b,w1_b,w2a_b,w2b_b,w0_f,w1_f,w2a_f,w2b_f
0.684800,0.268560,0.033500,0.013140,0.211490,1.000000,0.211490,1.000000,0.211490,1.000000,1.000000,1.000000
0.709320,0.268580,0.016030,0.006070,0.228070,1.000000,0.228070,1.000000,0.228070,1.000000,1.000000,1.000000
0.657880,0.301190,0.028080,0.012850,0.202470,1.000000,0.202470,1.000000,0.202470,1.000000,1.000000,1.000000
0.650320,0.295730,0.037080,0.016860,0.204210,1.000000,0.204210,1.000000,0.204210,1.000000,1.000000,1.000000
0.657380,0.315930,0.018030,0.008660,0.213430,1.000000,0.213430,1.000000,0.213430,1.000000,1.000000,1.000000
0.658680,0.280360,0.042760,0.018200,0.200680,1.000000,0.200680,1.000000,0.200680,1.000000,1.000000,1.000000
0.661520,0.281550,0.039940,0.017000,0.214870,1.000000,0.214870,1.000000,0.214870,1.000000,1.000000,1.000000
0.682340,0.298120,0.013600,0.005940,0.219540,1.000000,0.219540,1.000000,0.219540,1.000000,1.000000,1.000000
0.661110,0.310570,0.019270,0.009050,0.202790,1.000000,0.202790,1.000000,0.202790,1.000000,1.000000,1.000000
0.706250,0.293750,0.000000,0.000000,0.208980,1.000000,0.208980,1.000000,0.208980,1.000000,1.000000,1.000000
0.668820,0.269810,0.043720,0.017640,0.203010,1.000000,0.203010,1.000000,0.203010,1.000000,1.000000,1.000000
0.650370,0.308680,0.027770,0.013180,0.201560,1.000000,0.201560,1.000000,0.201560,1.000000,1.000000,1.000000
0.659190,0.283990,0.039720,0.017110,0.199230,1.000000,0.199230,1.000000,0.199230,1.000000,1.000000,1.000000
0.669100,0.284630,0.032470,0.013810,0.205530,1.000000,0.205530,1.000000,0.205530,1.000000,1.000000,1.000000
0.669930,0.282310,0.033600,0.014160,0.217150,1.000000,0.217150,1.000000,0.217150,1.000000,1.000000,1.000000
0.667570,0.300150,0.022270,0.010010,0.211260,1.000000,0.211260,1.000000,0.211260,1.000000,1.000000,1.000000
0.663370,0.266810,0.049790,0.020030,0.213270,1.000000,0.213270,1.000000,0.213270,1.000000,1.000000,1.000000
0.704680,0.250920,0.032740,0.011660,0.221400,1.000000,0.221400,1.000000,0.221400,1.000000,1.000000,1.000000
0.666560,0.303180,0.020800,0.009460,0.211040,1.000000,0.211040,1.000000,0.211040,1.000000,1.000000,1.000000
0.695650,0.258900,0.033120,0.012330,0.213470,1.000000,0.213470,1.000000,0.213470,1.000000,1.000000,1.000000
0.654690,0.300660,0.030600,0.014050,0.209600,1.000000,0.209600,1.000000,0.209600,1.000000,1.000000,1.000000
0.676340,0.266250,0.041190,0.016220,0.215220,1.000000,0.215220,1.000000,0.215220,1.000000,1.000000,1.000000
0.701220,0.273080,0.018490,0.007200,0.218300,1.000000,0.218300,1.000000,0.218300,1.000000,1.000000,1.000000
0.685310,0.300820,0.009640,0.004230,0.222570,1.000000,0.222570,1.000000,0.222570,1.000000,1.000000,1.000000
0.643070,0.291350,0.045130,0.020450,0.193160,1.000000,0.193160,1.000000,0.193160,1.000000,1.000000,1.000000
0.683690,0.283200,0.023410,0.009700,0.211170,1.000000,0.211170,1.000000,0.211170,1.000000,1.000000,1.000000
0.659980,0.296960,0.029700,0.013360,0.207680,1.000000,0.207680,1.000000,0.207680,1.000000,1.000000,1.000000
0.666070,0.272630,0.043500,0.017810,0.219100,1.000000,0.219100,1.000000,0.219100,1.000000,1.000000,1.000000
0.676420,0.274600,0.034840,0.014140,0.216510,1.000000,0.216510,1.000000,0.216510,1.000000,1.000000,1.000000
0.664060,0.291810,0.030650,0.013470,0.205040,1.000000,0.205040,1.000000,0.205040,1.000000,1.000000,1.000000
0.660020,0.292830,0.032660,0.014490,0.202280,1.000000,0.202280,1.000000,0.202280,1.000000,1.000000,1.000000
0.647060,0.279510,0.051280,0.022150,0.197770,1.000000,0.197770,1.000000,0.197770,1.000000,1.000000,1.000000
0.678470,0.296290,0.017570,0.007670,0.212330,1.000000,0.212330,1.000000,0.212330,1.000000,1.000000,1.000000
0.642420,0.293110,0.044270,0.020200,0.197180,1.000000,0.197180,1.000000,0.197180,1.000000,1.000000,1.000000
0.633270,0.298520,0.046360,0.021850,0.203260,1.000000,0.203260,1.000000,0.203260,1.000000,1.000000,1.000000
0.706320,0.279300,0.010310,0.004080,0.227980,1.000000,0.227980,1.000000,0.227980,1.000000,1.000000,1.000000
0.684690,0.279440,0.025470,0.010400,0.219930,1.000000,0.219930,1.000000,0.219930,1.000000,1.000000,1.000000
0.669610,0.275080,0.039200,0.016100,0.206000,1.000000,0.206000,1.000000,0.206000,1.000000,1.000000,1.000000
0.668180,0.271730,0.042710,0.017370,0.214180,1.000000,0.214180,1.000000,0.214180,1.000000,1.000000,1.000000
0.689350,0.287690,0.016200,0.006760,0.217910,1.000000,0.217910,1.000000,0.217910,1.000000,1.000000,1.000000
0.665340,0.261960,0.052160,0.020540,0.217420,1.000000,0.217420,1.000000,0.217420,1.000000,1.000000,1.000000
0.685710,0.287780,0.018670,0.007840,0.208080,1.000000,0.208080,1.000000,0.208080,1.000000,1.000000,1.000000
0.642180,0.306950,0.034420,0.016450,0.201730,1.000000,0.201730,1.000000,0.201730,1.000000,1.000000,1.000000
0.679590,0.286370,0.023950,0.010090,0.217380,1.000000,0.217380,1.000000,0.217380,1.000000,1.000000,1.000000
0.685630,0.300910,0.009350,0.004100,0.210150,1.000000,0.210150,1.000000,0.210150,1.000000,1.000000,1.000000
0.686370,0.303300,0.007170,0.003170,0.218630,1.000000,0.218630,1.000000,0.218630,1.000000,1.000000,1.000000
0.662020,0.334010,0.002640,0.001330,0.205390,1.000000,0.205390,1.000000,0.205390,1.000000,1.000000,1.000000
0.688360,0.253550,0.042450,0.015640,0.211440,1.000000,0.211440,1.000000,0.211440,1.000000,1.000000,1.000000
0.707830,0.246090,0.034190,0.011890,0.225230,1.000000,0.225230,1.000000,0.225230,1.000000,1.000000,1.000000
0.673700,0.239420,0.064100,0.022780,0.221290,1.000000,0.221290,1.000000,0.221290,1.000000,1.000000,1.000000
0.654990,0.291210,0.037250,0.016560,0.201490,1.000000,0.201490,1.000000,0.201490,1.000000,1.000000,1.000000
0.653410,0.293270,0.036800,0.016520,0.201480,1.000000,0.201480,1.000000,0.201480,1.000000,1.000000,1.000000
0.670870,0.275120,0.038300,0.015710,0.210250,1.000000,0.210250,1.000000,0.210250,1.000000,1.000000,1.000000
0.643230,0.307380,0.033420,0.015970,0.199100,1.000000,0.199100,1.000000,0.199100,1.000000,1.000000,1.000000
0.643710,0.319990,0.024240,0.012050,0.179330,1.000000,0.179330,1.000000,0.179330,1.000000,1.000000,1.000000
0.698340,0.255960,0.033440,0.012260,0.199910,1.000000,0.199910,1.000000,0.199910,1.000000,1.000000,1.000000
0.657210,0.259230,0.059920,0.023640,0.200670,1.000000,0.200670,1.000000,0.200670,1.000000,1.000000,1.000000
0.685740,0.279270,0.024870,0.010130,0.214870,1.000000,0.214870,1.000000,0.214870,1.000000,1.000000,1.000000
0.682430,0.280550,0.026230,0.010780,0.209610,1.000000,0.209610,1.000000,0.209610,1.000000,1.000000,1.000000
0.678820,0.277830,0.030760,0.012590,0.220320,1.000000,0.220320,1.000000,0.220320,1.000000,1.000000,1.000000
0.657440,0.312320,0.020500,0.009740,0.203730,1.000000,0.203730,1.000000,0.203730,1.000000,1.000000,1.000000
0.651810,0.267020,0.057580,0.023590,0.203310,1.000000,0.203310,1.000000,0.203310,1.000000,1.000000,1.000000
0.693810,0.267650,0.027810,0.010730,0.218290,1.000000,0.218290,1.000000,0.218290,1.000000,1.000000,1.000000
0.699440,0.273900,0.019160,0.007500,0.216840,1.000000,0.216840,1.000000,0.216840,1.000000,1.000000,1.000000
0.650160,0.303050,0.031920,0.014880,0.203150,1.000000,0.203150,1.000000,0.203150,1.000000,1.000000,1.000000
