p0,p1,p2a,p2b,w0_b,w1_b,w2a_b,w2b_b,w0_f,w1_f,w2a_f,w2b_f
0.500740,0.488190,0.005600,0.005460,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000
0.501230,0.498770,0.000000,0.000000,0.002460,1.000000,0.002460,1.000000,0.002460,1.000000,1.000000,1.000000
0.500480,0.496140,0.001700,0.001680,0.003490,1.000000,0.003490,1.000000,0.003490,1.000000,1.000000,1.000000
0.500030,0.499970,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000
0.500310,0.499690,0.000000,0.000000,0.000730,1.000000,0.000730,1.000000,0.000730,1.000000,1.000000,1.000000
0.497980,0.497170,0.002430,0.002420,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000
0.504490,0.488880,0.003370,0.003270,0.000220,1.000000,0.000220,1.000000,0.000220,1.000000,1.000000,1.000000
0.494100,0.505900,0.000000,0.000000,0.001460,1.000000,0.001460,1.000000,0.001460,1.000000,1.000000,1.000000
0.504880,0.484720,0.005310,0.005100,0.001510,1.000000,0.001510,1.000000,0.001510,1.000000,1.000000,1.000000
0.495690,0.504310,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000
0.493050,0.506270,0.000330,0.000340,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000
0.498150,0.501850,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000
0.505880,0.482320,0.006040,0.005760,0.000770,1.000000,0.000770,1.000000,0.000770,1.000000,1.000000,1.000000
0.493080,0.491570,0.007690,0.007660,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000
0.506150,0.493850,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000
0.498730,0.492180,0.004580,0.004520,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000
0.503940,0.476500,0.010060,0.009510,0.000490,1.000000,0.000490,1.000000,0.000490,1.000000,1.000000,1.000000
0.496370,0.503630,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000
