p0,p1,p2a,p2b,w0_b,w1_b,w2a_b,w2b_b,w0_f,w1_f,w2a_f,w2b_f
0.621290,0.089560,0.252720,0.036430,0.336240,1.000000,0.336240,1.000000,0.336240,1.000000,1.000000,1.000000
0.704160,0.186460,0.086480,0.022900,0.283390,1.000000,0.283390,1.000000,0.283390,1.000000,1.000000,1.000000
0.748060,0.169140,0.067530,0.015270,0.319990,1.000000,0.319990,1.000000,0.319990,1.000000,1.000000,1.000000
0.551730,0.081900,0.319010,0.047360,0.286620,1.000000,0.286620,1.000000,0.286620,1.000000,1.000000,1.000000
0.702740,0.100210,0.172470,0.024590,0.321520,1.000000,0.321520,1.000000,0.321520,1.000000,2.008370,2.008370
0.749870,0.250130,0.000000,0.000000,0.278150,1.000000,0.278150,1.000000,0.278150,1.000000,1.000000,1.000000
0.799560,0.185920,0.011770,0.002740,0.321610,1.000000,0.321610,1.000000,0.321610,1.000000,9.980470,9.980470
0.729080,0.152440,0.098000,0.020490,0.335880,1.000000,0.335880,1.000000,0.335880,1.000000,2.561800,2.561800
0.788610,0.149300,0.052200,0.009880,0.314650,1.000000,0.314650,1.000000,0.314650,1.000000,2.986040,2.986040
0.638480,0.200070,0.122930,0.038520,0.265060,1.000000,0.265060,1.000000,0.265060,1.000000,1.000000,1.000000
0.700770,0.175710,0.098760,0.024760,0.302790,1.000000,0.302790,1.000000,0.302790,1.000000,1.000000,1.000000
0.762730,0.159710,0.064130,0.013430,0.340020,1.000000,0.340020,1.000000,0.340020,1.000000,1.024190,1.024190
0.818350,0.175050,0.005440,0.001160,0.285230,1.000000,0.285230,1.000000,0.285230,1.000000,23.130620,23.130620
0.782230,0.176770,0.033440,0.007560,0.295300,1.000000,0.295300,1.000000,0.295300,1.000000,1.296180,1.296180
0.774890,0.142900,0.069410,0.012800,0.310750,1.000000,0.310750,1.000000,0.310750,1.000000,1.000000,1.000000
0.744950,0.225480,0.022700,0.006870,0.285540,1.000000,0.285540,1.000000,0.285540,1.000000,3.416020,3.416020
0.801920,0.169320,0.023750,0.005010,0.312520,1.000000,0.312520,1.000000,0.312520,1.000000,3.764000,3.764000
0.802410,0.197590,0.000000,0.000000,0.312520,1.000000,0.312520,1.000000,0.312520,1.000000,1.000000,1.000000
0.744280,0.111640,0.125290,0.018790,0.317390,1.000000,0.317390,1.000000,0.317390,1.000000,1.000000,1.000000
0.829570,0.162880,0.006310,0.001240,0.299130,1.000000,0.299130,1.000000,0.299130,1.000000,6.048770,6.048770
0.529300,0.098690,0.313550,0.058460,0.295510,1.000000,0.295510,1.000000,0.295510,1.000000,1.000000,1.000000
0.832550,0.167450,0.000000,0.000000,0.329590,1.000000,0.329590,1.000000,0.329590,1.000000,1.000000,1.000000
0.813220,0.186780,0.000000,0.000000,0.330250,1.000000,0.330250,1.000000,0.330250,1.000000,1.000000,1.000000
0.708220,0.196320,0.074730,0.020720,0.300460,1.000000,0.300460,1.000000,0.300460,1.000000,3.653020,3.653020
0.757250,0.197690,0.035730,0.009330,0.280950,1.000000,0.280950,1.000000,0.280950,1.000000,1.000000,1.000000
0.747110,0.252890,0.000000,0.000000,0.285420,1.000000,0.285420,1.000000,0.285420,1.000000,1.000000,1.000000
0.705380,0.137570,0.131420,0.025630,0.323700,1.000000,0.323700,1.000000,0.323700,1.000000,1.000000,1.000000
0.736790,0.167880,0.077630,0.017690,0.287870,1.000000,0.287870,1.000000,0.287870,1.000000,1.084120,1.084120
0.622580,0.195690,0.138270,0.043460,0.257280,1.000000,0.257280,1.000000,0.257280,1.000000,1.000000,1.000000
0.690230,0.268180,0.029950,0.011640,0.264780,1.000000,0.264780,1.000000,0.264780,1.000000,3.953380,3.953380
0.774050,0.225950,0.000000,0.000000,0.298080,1.000000,0.298080,1.000000,0.298080,1.000000,1.000000,1.000000
0.614300,0.165290,0.173680,0.046730,0.333750,1.000000,0.333750,1.000000,0.333750,1.000000,1.000000,1.000000
0.654260,0.132790,0.177020,0.035930,0.314310,1.000000,0.314310,1.000000,0.314310,1.000000,2.284720,2.284720
0.792440,0.207560,0.000000,0.000000,0.307930,1.000000,0.307930,1.000000,0.307930,1.000000,1.000000,1.000000
0.620300,0.135290,0.200650,0.043760,0.336890,1.000000,0.336890,1.000000,0.336890,1.000000,1.000000,1.000000
0.793380,0.179960,0.021730,0.004930,0.306340,1.000000,0.306340,1.000000,0.306340,1.000000,3.950190,3.950190
0.767000,0.222400,0.008220,0.002380,0.307340,1.000000,0.307340,1.000000,0.307340,1.000000,93.021380,93.021380
0.739130,0.260870,0.000000,0.000000,0.293410,1.000000,0.293410,1.000000,0.293410,1.000000,1.000000,1.000000
0.881370,0.111140,0.006650,0.000840,0.311530,1.000000,0.311530,1.000000,0.311530,1.000000,14.772130,14.772130
0.585760,0.239610,0.123940,0.050700,0.255210,1.000000,0.255210,1.000000,0.255210,1.000000,1.000000,1.000000
0.724870,0.190020,0.067440,0.017680,0.297300,1.000000,0.297300,1.000000,0.297300,1.000000,4.056380,4.056380
0.679650,0.181870,0.109240,0.029230,0.334380,1.000000,0.334380,1.000000,0.334380,1.000000,1.232720,1.232720
0.797710,0.202290,0.000000,0.000000,0.293020,1.000000,0.293020,1.000000,0.293020,1.000000,1.000000,1.000000
0.397780,0.118160,0.373210,0.110860,0.304360,1.000000,0.304360,1.000000,0.304360,1.000000,1.374960,1.374960
0.521650,0.054060,0.384450,0.039840,0.334210,1.000000,0.334210,1.000000,0.334210,1.000000,1.000000,1.000000
0.754360,0.245640,0.000000,0.000000,0.291960,1.000000,0.291960,1.000000,0.291960,1.000000,1.000000,1.000000
0.785760,0.214240,0.000000,0.000000,0.296410,1.000000,0.296410,1.000000,0.296410,1.000000,1.000000,1.000000
0.778880,0.221120,0.000000,0.000000,0.295120,1.000000,0.295120,1.000000,0.295120,1.000000,1.000000,1.000000
0.810700,0.179640,0.007910,0.001750,0.283320,1.000000,0.283320,1.000000,0.283320,1.000000,4.429950,4.429950
0.709070,0.190940,0.078780,0.021210,0.335940,1.000000,0.335940,1.000000,0.335940,1.000000,1.000000,1.000000
0.278560,0.072320,0.515340,0.133790,0.309970,1.000000,0.309970,1.000000,0.309970,1.000000,1.094690,1.094690
0.490250,0.196810,0.223290,0.089640,0.272270,1.000000,0.272270,1.000000,0.272270,1.000000,1.000000,1.000000
0.677720,0.284160,0.026860,0.011260,0.275460,1.000000,0.275460,1.000000,0.275460,1.000000,1.000000,1.000000
0.533250,0.064380,0.359020,0.043350,0.303640,1.000000,0.303640,1.000000,0.303640,1.000000,1.000000,1.000000
0.607450,0.154260,0.190030,0.048260,0.297350,1.000000,0.297350,1.000000,0.297350,1.000000,1.117840,1.117840
0.780840,0.195450,0.018960,0.004750,0.308590,1.000000,0.308590,1.000000,0.308590,1.000000,5.533720,5.533720
0.869760,0.130240,0.000000,0.000000,0.298120,1.000000,0.298120,1.000000,0.298120,1.000000,1.000000,1.000000
0.746510,0.229520,0.018330,0.005640,0.283250,1.000000,0.283250,1.000000,0.283250,1.000000,3.653030,3.653030
0.796850,0.203150,0.000000,0.000000,0.306710,1.000000,0.306710,1.000000,0.306710,1.000000,1.000000,1.000000
0.771810,0.170970,0.046840,0.010380,0.338330,1.000000,0.338330,1.000000,0.338330,1.000000,3.101150,3.101150
0.714850,0.255600,0.021760,0.007780,0.265380,1.000000,0.265380,1.000000,0.265380,1.000000,1.000000,1.000000
0.727860,0.132720,0.117920,0.021500,0.323930,1.000000,0.323930,1.000000,0.323930,1.000000,1.072620,1.072620
0.730460,0.258350,0.008270,0.002930,0.274080,1.000000,0.274080,1.000000,0.274080,1.000000,1.042160,1.042160
0.576270,0.150710,0.216430,0.056600,0.273160,1.000000,0.273160,1.000000,0.273160,1.000000,1.000000,1.000000
0.672800,0.125170,0.170340,0.031690,0.371890,1.000000,0.371890,1.000000,0.371890,1.000000,1.000000,1.000000
0.531310,0.189750,0.205530,0.073400,0.290110,1.000000,0.290110,1.000000,0.290110,1.000000,1.000000,1.000000
0.550670,0.163910,0.219950,0.065470,0.279830,1.000000,0.279830,1.000000,0.279830,1.000000,1.000000,1.000000
0.756470,0.227060,0.012670,0.003800,0.284630,1.000000,0.284630,1.000000,0.284630,1.000000,3.171600,3.171600
