p0,p1,p2a,p2b,w0_b,w1_b,w2a_b,w2b_b,w0_f,w1_f,w2a_f,w2b_f
0.670120,0.146050,0.150940,0.032900,0.303050,1.000000,0.303050,1.000000,0.303050,1.000000,1.000000,1.000000
0.750990,0.180930,0.054870,0.013220,0.310720,1.000000,0.310720,1.000000,0.310720,1.000000,1.000000,1.000000
0.738340,0.181000,0.064780,0.015880,0.289450,1.000000,0.289450,1.000000,0.289450,1.000000,1.000000,1.000000
0.692090,0.159130,0.120960,0.027810,0.302020,1.000000,0.302020,1.000000,0.302020,1.000000,1.000000,1.000000
0.689330,0.162640,0.119760,0.028260,0.313690,1.000000,0.313690,1.000000,0.313690,1.000000,1.000000,1.000000
0.697010,0.194640,0.084700,0.023650,0.297010,1.000000,0.297010,1.000000,0.297010,1.000000,1.000000,1.000000
0.684060,0.158340,0.127970,0.029620,0.303280,1.000000,0.303280,1.000000,0.303280,1.000000,1.000000,1.000000
0.726000,0.177210,0.077800,0.018990,0.307230,1.000000,0.307230,1.000000,0.307230,1.000000,1.000000,1.000000
0.808040,0.163250,0.023880,0.004830,0.321880,1.000000,0.321880,1.000000,0.321880,1.000000,1.858580,1.858580
0.765990,0.173650,0.049200,0.011150,0.303600,1.000000,0.303600,1.000000,0.303600,1.000000,1.870750,1.870750
0.697160,0.158690,0.117420,0.026730,0.298220,1.000000,0.298220,1.000000,0.298220,1.000000,1.136170,1.136170
0.754030,0.191710,0.043260,0.011000,0.308980,1.000000,0.308980,1.000000,0.308980,1.000000,1.799140,1.799140
0.696180,0.177020,0.101100,0.025710,0.281220,1.000000,0.281220,1.000000,0.281220,1.000000,1.000000,1.000000
0.765440,0.190090,0.035630,0.008850,0.288720,1.000000,0.288720,1.000000,0.288720,1.000000,1.000000,1.000000
0.787600,0.212400,0.000000,0.000000,0.302990,1.000000,0.302990,1.000000,0.302990,1.000000,1.000000,1.000000
0.662200,0.174360,0.129380,0.034070,0.307730,1.000000,0.307730,1.000000,0.307730,1.000000,1.000000,1.000000
0.756670,0.224440,0.014570,0.004320,0.320910,1.000000,0.320910,1.000000,0.320910,1.000000,3.168250,3.168250
0.780890,0.209870,0.007290,0.001960,0.304250,1.000000,0.304250,1.000000,0.304250,1.000000,7.141270,7.141270
0.804200,0.187400,0.006810,0.001590,0.308950,1.000000,0.308950,1.000000,0.308950,1.000000,6.001360,6.001360
0.809470,0.176750,0.011310,0.002470,0.315600,1.000000,0.315600,1.000000,0.315600,1.000000,3.348600,3.348600
0.785240,0.206640,0.006430,0.001690,0.310520,1.000000,0.310520,1.000000,0.310520,1.000000,8.468480,8.468480
0.660550,0.168960,0.135760,0.034730,0.291920,1.000000,0.291920,1.000000,0.291920,1.000000,1.000000,1.000000
0.782550,0.173850,0.035670,0.007930,0.304590,1.000000,0.304590,1.000000,0.304590,1.000000,2.507260,2.507260
0.724520,0.202310,0.057200,0.015970,0.309440,1.000000,0.309440,1.000000,0.309440,1.000000,1.000000,1.000000
0.769960,0.158770,0.059090,0.012180,0.297890,1.000000,0.297890,1.000000,0.297890,1.000000,1.694840,1.694840
0.701600,0.158550,0.114070,0.025780,0.293540,1.000000,0.293540,1.000000,0.293540,1.000000,1.000000,1.000000
0.714640,0.175230,0.088440,0.021690,0.303190,1.000000,0.303190,1.000000,0.303190,1.000000,1.462180,1.462180
0.669520,0.174570,0.123670,0.032250,0.300230,1.000000,0.300230,1.000000,0.300230,1.000000,1.000000,1.000000
0.649820,0.163520,0.149130,0.037530,0.305290,1.000000,0.305290,1.000000,0.305290,1.000000,1.000000,1.000000
0.668490,0.167320,0.131320,0.032870,0.307590,1.000000,0.307590,1.000000,0.307590,1.000000,1.050790,1.050790
0.699530,0.170980,0.104060,0.025430,0.303110,1.000000,0.303110,1.000000,0.303110,1.000000,1.000000,1.000000
0.704840,0.168010,0.102670,0.024470,0.289680,1.000000,0.289680,1.000000,0.289680,1.000000,1.109360,1.109360
0.749640,0.188420,0.049500,0.012440,0.310160,1.000000,0.310160,1.000000,0.310160,1.000000,1.000000,1.000000
0.657990,0.171780,0.134990,0.035240,0.305940,1.000000,0.305940,1.000000,0.305940,1.000000,1.000000,1.000000
0.644290,0.180970,0.136420,0.038320,0.287030,1.000000,0.287030,1.000000,0.287030,1.000000,1.325680,1.325680
0.714300,0.169500,0.093910,0.022290,0.307350,1.000000,0.307350,1.000000,0.307350,1.000000,1.000000,1.000000
0.676860,0.168660,0.123660,0.030810,0.308240,1.000000,0.308240,1.000000,0.308240,1.000000,1.000000,1.000000
0.743370,0.194180,0.049520,0.012940,0.302620,1.000000,0.302620,1.000000,0.302620,1.000000,1.391130,1.391130
0.638500,0.173820,0.147520,0.040160,0.284320,1.000000,0.284320,1.000000,0.284320,1.000000,1.000000,1.000000
0.787890,0.175430,0.029990,0.006680,0.312860,1.000000,0.312860,1.000000,0.312860,1.000000,3.066280,3.066280
0.742490,0.177230,0.064810,0.015470,0.301980,1.000000,0.301980,1.000000,0.301980,1.000000,1.443730,1.443730
0.747290,0.187360,0.052250,0.013100,0.312020,1.000000,0.312020,1.000000,0.312020,1.000000,1.125960,1.125960
0.802210,0.197790,0.000000,0.000000,0.306210,1.000000,0.306210,1.000000,0.306210,1.000000,1.000020,1.000020
0.774840,0.193380,0.025430,0.006350,0.297180,1.000000,0.297180,1.000000,0.297180,1.000000,3.359620,3.359620
0.613520,0.151740,0.188190,0.046550,0.289700,1.000000,0.289700,1.000000,0.289700,1.000000,1.047400,1.047400
