null1,null2,bsA
-79843.785336,-79842.625065,-79842.625065
-79855.129155,-79854.975418,-79851.499773
-80092.151908,-80092.151909,-80092.151909
-79593.157795,-79593.157796,-79593.157796
-80696.822414,-80696.646727,-80696.443671
-80610.903140,-80610.903141,-80610.903141
-80494.115443,-80494.115443,-80494.115443
-80025.977909,-80025.977909,-80025.741759
-80394.120351,-80394.041977,-80394.041977
-80416.506113,-80415.756584,-80415.749918
-80516.022223,-80515.470304,-80515.470304
-80358.734138,-80358.734138,-80358.734138
-79969.014868,-79968.681402,-79968.681402
-79809.077471,-79808.903853,-79808.903853
-80050.964990,-80050.724916,-80050.712119
-80299.508843,-80299.508843,-80299.508843
-80418.938001,-80418.938001,-80418.938001
-80708.217767,-80708.207383,-80706.058432
-80336.480226,-80336.480226,-80336.480226
-80017.102538,-80017.102539,-80017.102538
-79959.067743,-79958.182706,-79958.182661
-81051.768170,-81051.768170,-81051.768170
-80576.346908,-80576.346908,-80576.346908
-79586.174298,-79586.173593,-79586.173593
-80417.702868,-80416.924679,-80416.464514
-80660.344183,-80660.204821,-80660.204821
-79751.816840,-79751.674571,-79748.827158
-80759.768506,-80759.768506,-80759.768506
-79852.528292,-79852.528292,-79852.528292
-80030.656333,-80030.656333,-80030.656333
-79679.239196,-79679.239196,-79679.239196
-81098.386688,-81098.386688,-81098.386688
-79731.980872,-79731.495608,-79731.495608
-80378.580329,-80378.042184,-80378.042184
-80463.182839,-80461.463375,-80461.463375
-79692.881439,-79692.881033,-79692.874992
-80285.040978,-80285.040978,-80285.040978
-79880.056832,-79879.129964,-79879.129964
-80677.062949,-80676.300608,-80676.300608
-80066.310337,-80065.005294,-80065.005294
-79802.990771,-79802.976061,-79802.976061
-80597.958760,-80597.358459,-80596.792990
-81022.505507,-81022.505507,-81022.505507
-80487.138663,-80486.892645,-80485.460982
-80539.285306,-80539.285306,-80539.285306
-81063.671378,-81063.671379,-81063.671378
-80024.018718,-80023.403536,-80023.035050
-80092.599489,-80092.400294,-80091.738370
-80092.608972,-80092.608972,-80092.608972
-79519.258979,-79518.633421,-79518.633421
-80367.456206,-80367.231077,-80367.231077
-80071.875860,-80071.875860,-80071.875860
-80799.008790,-80799.008791,-80799.008791
-79894.965427,-79894.965427,-79894.965427
-80269.050442,-80268.320600,-80268.011839
-80392.205661,-80392.205661,-80392.205661
-80212.376448,-80212.054674,-80212.007727
-79640.648653,-79640.645119,-79639.338773
-80834.627064,-80834.548189,-80832.986893
-80114.386467,-80112.442894,-80112.384370
-80421.177354,-80421.177341,-80421.177341
-80463.305439,-80463.288125,-80463.288125
-80874.415641,-80874.415641,-80874.415641
-79839.207467,-79839.207467,-79839.207467
-80813.570777,-80813.563389,-80813.557811
-79975.008309,-79975.008309,-79975.008309
-80207.471028,-80207.132791,-80207.112147
-80768.037988,-80767.707075,-80767.707075
-80222.998415,-80222.998415,-80222.998415
-80061.521456,-80061.436931,-80061.436931
-80768.155514,-80768.155514,-80768.155514
-80688.577550,-80688.577550,-80688.577550
-79989.265663,-79989.265664,-79989.265663
-79484.518937,-79482.937717,-79482.937717
-79972.297362,-79972.297362,-79972.297362
-80445.083474,-80445.083474,-80445.083474
-80014.160611,-80013.576408,-80013.573922
-79815.132563,-79813.415137,-79813.183116
-80069.632903,-80069.358414,-80069.358414
-80336.234585,-80335.987864,-80335.987864
-80640.630597,-80640.324496,-80639.890200
-80856.283864,-80856.271065,-80856.271065
-80487.380996,-80487.380996,-80487.223514
-80048.228473,-80047.176523,-80047.133894
-80051.514842,-80051.514843,-80051.514842
-80060.099710,-80060.099710,-80060.099710
-80059.106777,-80059.106777,-80059.106777
-80624.686034,-80624.428902,-80624.053767
-80443.866277,-80443.866277,-80443.866277
-80540.605354,-80539.783815,-80539.783815
-80742.256200,-80741.979569,-80741.979569
-80036.499192,-80036.499192,-80036.499192
-80359.718134,-80359.718134,-80359.718134
-80767.672125,-80767.662781,-80767.662781
-80219.407070,-80218.722254,-80218.722254
-79802.250683,-79802.250683,-79802.250683
-80141.210113,-80140.951132,-80140.905291
-79273.970380,-79273.970380,-79273.970380
-80571.701258,-80569.556045,-80569.506821
-80249.504027,-80249.436333,-80249.436333
-79536.326508,-79535.644377,-79535.644377
-79843.216856,-79843.216285,-79843.216285
-80534.494688,-80532.532349,-80532.524936
-80446.043655,-80446.043655,-80446.043655
-79488.851537,-79488.851537,-79488.851537
-79638.111711,-79638.111711,-79638.111711
-80302.198601,-80300.975107,-80300.327561
-80493.890570,-80493.884338,-80492.980681
-79800.856914,-79800.216483,-79799.990765
-80306.093546,-80306.093546,-80306.093546
-80483.517656,-80483.517656,-80483.517656
-80090.339037,-80090.339037,-80090.339037
-80072.943476,-80072.848183,-80072.770525
-80531.147019,-80530.879841,-80530.879841
-80258.268154,-80258.241403,-80258.230670
-80027.059700,-80027.059701,-80027.059700
-80086.963265,-80086.726656,-80086.726656
-80074.767346,-80074.767346,-80074.767346
-80790.985198,-80790.604920,-80790.582970
-79992.405748,-79992.405748,-79992.405748
-79839.753552,-79839.753552,-79839.753552
-80892.232488,-80891.124918,-80891.124918
-80015.545268,-80015.545269,-80015.545268
-80363.024710,-80362.903967,-80362.898506
-80218.260207,-80218.260207,-80218.260207
-79613.339453,-79613.339453,-79613.339453
-80422.763176,-80422.763176,-80422.763176
-80558.587694,-80557.543969,-80557.543969
-80024.602126,-80023.214982,-80023.214982
-80464.813312,-80464.390146,-80464.390146
-80431.431196,-80427.856917,-80427.856917
-79596.716439,-79595.273252,-79595.273252
-80148.713882,-80148.713882,-80146.412420
-80602.748657,-80602.682459,-80602.682459
-80707.036820,-80707.036820,-80707.036820
-79843.328942,-79843.328942,-79843.328942
-79694.014796,-79693.839580,-79693.839580
-80498.832038,-80498.832038,-80498.832038
-80091.876999,-80091.876999,-80091.510363
-80173.844361,-80173.819280,-80173.819280
-80233.776898,-80233.776898,-80233.776898
-80629.616257,-80629.616257,-80629.616257
-80259.354534,-80259.008938,-80257.673141
-80185.730898,-80185.730898,-80185.730899
-80271.010641,-80271.007092,-80267.930821
-80136.108831,-80136.108831,-80136.108831
-79614.452655,-79614.452656,-79614.452655
-80148.030909,-80147.978787,-80147.978787
-80220.231137,-80220.231137,-80220.231137
-80632.099045,-80631.098744,-80628.397556
-80244.036678,-80244.036678,-80244.036678
-80168.805475,-80168.358693,-80168.047006
-80359.097621,-80359.097621,-80358.757370
-79874.688986,-79874.688986,-79874.688986
-80331.923163,-80331.910129,-80331.883625
-80797.869495,-80797.817932,-80795.528143
-80503.838457,-80503.784871,-80501.431892
-80007.272677,-80007.200537,-80007.200537
-80688.247023,-80687.834544,-80687.834544
-80805.191422,-80805.191422,-80805.191422
-80157.142602,-80157.126918,-80157.011108
-80058.066774,-80058.066774,-80058.066774
-80442.808028,-80442.127327,-80442.111699
-79861.835365,-79861.834868,-79861.726530
-80202.575068,-80202.237847,-80202.237847
-79675.739294,-79675.739294,-79675.739294
-79873.026970,-79873.026970,-79873.026970
-79877.318789,-79877.237694,-79876.604218
-80308.772781,-80308.772781,-80308.772781
-80528.216263,-80528.216263,-80528.098658
-80493.927141,-80493.927141,-80493.927141
-79822.015741,-79822.015741,-79822.015741
-80111.524622,-80111.516535,-80111.450452
-79770.186015,-79770.185897,-79770.029889
-80423.427256,-80422.534698,-80422.009587
-79841.724583,-79841.724584,-79841.724584
-79842.421121,-79842.421121,-79842.421121
-79685.846843,-79685.120351,-79682.336333
-80638.730514,-80638.730514,-80638.730514
-80183.587422,-80183.587422,-80183.587422
-79756.250894,-79756.250894,-79756.250894
-80794.414033,-80794.393718,-80794.047638
-80615.340228,-80614.274368,-80613.695072
-80487.655036,-80487.655036,-80487.655036
-80748.684438,-80748.684438,-80748.684438
-80762.417587,-80762.009086,-80761.950448
-80085.613850,-80085.061052,-80084.915482
-80311.451401,-80311.451401,-80311.451401
-80145.950910,-80145.950910,-80145.803729
-79655.961434,-79655.957777,-79654.376323
-79968.174354,-79968.174354,-79968.174354
-80737.473599,-80737.292776,-80737.292776
-80228.118473,-80228.118473,-80226.849398
-79872.671349,-79872.671349,-79872.595313
-79507.200104,-79507.200104,-79507.200104
-80556.305308,-80556.041888,-80555.795486
-80257.246851,-80257.179866,-80257.178743
-79740.182799,-79740.157685,-79740.157685
-80355.542488,-80355.542488,-80355.542488
-80322.075914,-80322.075914,-80322.075914
-80774.068291,-80774.068291,-80774.068291
-80095.336592,-80094.625439,-80094.625439
-79854.912419,-79854.912419,-79854.912419
-80511.132870,-80511.132870,-80511.132870
-80258.311780,-80258.311780,-80258.311780
-79958.951838,-79958.769363,-79958.769363
-80185.616956,-80185.616957,-80185.616956
-79658.325545,-79658.251729,-79658.251729
-80164.547383,-80164.547384,-80164.547383
-80212.612737,-80212.513720,-80212.229824
-80237.321840,-80237.321840,-80237.321840
-80792.417312,-80791.259049,-80790.847947
-81025.253387,-81024.979760,-81024.295721
-79994.426172,-79994.426172,-79994.426172
-80599.316134,-80599.313929,-80599.313929
-80180.619987,-80180.619987,-80180.619988
-79147.472393,-79147.472393,-79147.472393
-80414.033543,-80414.033544,-80414.033543
-80066.798037,-80065.879801,-80065.816311
