null1,null2,bsA
-95176.107203,-95143.700930,-95143.700783
-95297.977620,-95269.437254,-95269.436884
-94791.994583,-94766.766631,-94766.726747
-95826.293352,-95804.220682,-95803.791974
-96419.737526,-96384.195972,-96384.190612
-95892.841752,-95857.431138,-95857.431138
-95674.144148,-95638.540122,-95638.385968
-95979.088601,-95948.927830,-95946.841429
-96369.197083,-96340.745420,-96340.734350
-96373.848670,-96362.963830,-96362.963830
-95108.201679,-95079.522429,-95079.522429
-95426.238899,-95392.436317,-95392.433766
-95292.673711,-95268.188275,-95268.188275
-95750.015659,-95711.054407,-95710.987574
-95572.227019,-95544.309906,-95544.231389
-95975.952502,-95940.327557,-95940.327557
-96781.893489,-96758.647583,-96758.647583
-95769.824241,-95738.491659,-95738.094262
-96486.100267,-96455.952583,-96455.947051
-96206.096638,-96177.321803,-96177.321802
-96230.181078,-96210.454022,-96210.454022
-96429.521813,-96403.117403,-96403.117403
-96692.166675,-96673.133531,-96673.114669
-95293.139583,-95264.536592,-95264.536593
-94849.046519,-94824.996029,-94824.960088
-95746.390093,-95729.229715,-95729.220459
-96072.401667,-96042.799401,-96042.799342
-96918.912885,-96888.098897,-96888.098897
-95067.024340,-95024.807244,-95024.807555
-96456.278526,-96421.056755,-96418.992124
-95400.319276,-95356.284861,-95355.367976
-96405.793068,-96374.637487,-96372.883658
-95269.822797,-95231.399755,-95231.003162
-95694.415099,-95651.517918,-95651.514208
-96046.276873,-95999.255128,-95999.036893
-95979.761060,-95945.360458,-95945.360457
-95084.162437,-95047.233788,-95047.233787
-95966.709050,-95920.404188,-95919.547421
-95839.770944,-95824.431649,-95824.431650
-95364.412437,-95340.670401,-95340.469630
-96184.139988,-96149.879197,-96149.628380
-95653.644123,-95626.844180,-95626.844180
-96970.238894,-96942.334506,-96942.334506
-96015.583635,-95996.309103,-95996.309103
-96330.424299,-96306.280968,-96305.235166
-96176.999633,-96143.860924,-96143.860924
-95810.203806,-95782.996663,-95782.996663
-95797.404785,-95770.457779,-95770.461292
-95777.509588,-95757.611441,-95757.611441
-95619.568902,-95578.659045,-95576.679952
-95789.348509,-95768.296761,-95768.296761
-95833.857060,-95802.398228,-95802.398228
-96263.618294,-96226.734722,-96226.748657
-96431.361239,-96401.619339,-96401.619339
-94875.636785,-94835.286105,-94835.286105
-95660.050717,-95610.537319,-95609.478749
-95222.622908,-95181.454113,-95181.411673
-94855.487124,-94837.365449,-94837.307376
-95842.654892,-95826.022804,-95825.242549
-94719.108581,-94683.830102,-94683.830026
-97067.054056,-97038.894597,-97038.879041
-96161.759042,-96136.670522,-96136.665441
-96706.001711,-96675.399507,-96675.399115
-95333.181371,-95297.487210,-95297.487210
-95830.756353,-95800.231711,-95800.224627
-95056.204598,-95032.943148,-95032.943148
-95649.708361,-95605.512740,-95605.512741
-96697.425936,-96671.268211,-96669.820729
-95100.960505,-95086.879428,-95086.879427
-95271.011050,-95241.747252,-95241.329657
-96164.950025,-96145.002792,-96145.002792
-95829.168967,-95794.753923,-95794.753923
-95579.122243,-95555.936918,-95554.017042
-95694.803179,-95662.837264,-95662.822025
-96136.541913,-96107.932251,-96107.680017
-97024.065891,-96974.883232,-96973.112494
-96578.554839,-96568.640144,-96568.378421
-95677.398775,-95644.281476,-95644.281476
-95690.225067,-95680.359193,-95680.347327
-96653.625561,-96615.033971,-96614.991622
-95468.022919,-95421.841405,-95421.361483
-96234.543158,-96218.088937,-96218.088938
-95621.861986,-95584.044378,-95583.878742
-94738.659296,-94704.663029,-94704.470268
-96423.316125,-96397.884748,-96397.884748
-96027.860463,-95993.129679,-95993.144551
-95399.039442,-95371.086272,-95370.903598
-95659.602127,-95634.521151,-95634.521150
-96331.601904,-96297.005947,-96294.390933
-96223.833151,-96189.422178,-96189.422178
-96271.447121,-96250.195260,-96250.195260
-96245.566887,-96207.469246,-96207.469246
-95803.742919,-95756.041462,-95756.041462
-96458.111301,-96435.013037,-96435.013037
-94124.208784,-94089.910743,-94089.910743
-94854.290036,-94824.511303,-94824.580144
-95917.323651,-95895.425179,-95895.013598
-94263.901044,-94236.046021,-94235.728751
-96336.388870,-96314.930905,-96314.930905
-96123.216084,-96094.139285,-96094.139285
-95136.341447,-95106.239296,-95106.239296
-95917.047615,-95893.502448,-95893.453778
-96138.191584,-96094.784741,-96094.785646
-96403.640381,-96361.853909,-96361.853909
-94871.264422,-94828.762952,-94827.400815
-95197.209701,-95181.741658,-95181.382468
-96377.918708,-96345.768647,-96345.766131
-95798.909714,-95771.300723,-95770.124274
-96084.382293,-96049.376030,-96049.376030
-97130.291529,-97102.099539,-97102.067707
-96284.907989,-96252.934200,-96251.007919
-96895.910908,-96873.105004,-96873.105004
-96217.183062,-96195.312210,-96195.053534
-95120.027366,-95097.963581,-95097.680441
-95241.231658,-95198.918337,-95198.918337
-95575.101863,-95550.005649,-95550.005649
-95892.367473,-95869.591846,-95869.451703
-95490.200560,-95453.443051,-95451.974865
-96276.484870,-96239.090354,-96238.848927
-97113.959340,-97085.305024,-97083.717818
-95102.679748,-95062.168962,-95060.642167
-96539.188275,-96526.383592,-96526.202288
-96316.110630,-96290.967953,-96289.463398
-96465.455161,-96430.162302,-96430.162302
-96123.901936,-96083.707688,-96083.696702
-95540.465196,-95523.131973,-95523.131973
-96358.667654,-96311.256943,-96311.181444
-95757.149256,-95721.496060,-95721.093108
-97808.104795,-97782.679805,-97782.679805
-96295.251027,-96253.982645,-96252.590723
-95991.106939,-95964.956070,-95964.956070
-95921.471549,-95885.262478,-95885.254099
-94513.617346,-94471.453686,-94471.033947
-96445.524405,-96405.868668,-96405.868668
-95688.213903,-95657.867037,-95655.846132
-95776.595574,-95754.223863,-95753.943737
-96180.337887,-96158.535173,-96157.346858
-95906.481994,-95873.133416,-95873.133417
-95277.054208,-95241.090597,-95239.779022
-96251.412765,-96223.692394,-96223.315644
-96823.735648,-96803.509493,-96802.577703
-95876.234285,-95843.481240,-95843.274298
-96128.915143,-96100.394689,-96099.502631
-96107.038664,-96062.497273,-96062.436119
-96607.957184,-96577.195824,-96576.935332
-95672.834136,-95635.341381,-95633.801277
-95531.469981,-95494.279097,-95494.011433
-94757.001886,-94724.328682,-94724.275091
-95569.887538,-95537.002046,-95536.545006
-95689.944647,-95656.543259,-95656.433298
-95897.879583,-95861.627534,-95861.383163
-95836.621860,-95791.470097,-95791.452555
-96636.976540,-96607.908716,-96607.908716
-95441.569304,-95412.059304,-95412.059305
-95556.578904,-95524.921043,-95524.921043
-95710.056166,-95685.298627,-95684.546512
-95966.472143,-95941.116187,-95941.116187
-95726.096172,-95695.598054,-95695.598054
-94452.338448,-94430.968686,-94430.961643
-96752.556595,-96722.225982,-96722.028848
-95626.321846,-95602.578975,-95602.510079
-95602.846615,-95568.106390,-95568.079369
-96548.834653,-96526.183628,-96525.551070
-95670.737472,-95634.522927,-95634.389967
-95344.304813,-95314.387669,-95314.387670
-95912.776850,-95897.372080,-95897.059038
-95459.067715,-95439.214256,-95438.802092
-96479.526417,-96448.276792,-96446.620793
-96284.472362,-96241.858428,-96240.928400
-95717.731513,-95700.975176,-95700.975168
-96625.879840,-96594.277946,-96594.244823
-95820.942572,-95770.561275,-95770.072608
-95808.494928,-95784.259281,-95784.108994
-94433.745893,-94407.720659,-94407.720659
-96507.017937,-96469.990483,-96468.286349
-94773.712651,-94746.178004,-94746.055771
-95501.278959,-95477.006803,-95475.818674
-95090.663260,-95065.797908,-95064.997161
-96236.443961,-96200.374933,-96200.374568
-96358.400167,-96334.706011,-96332.478892
-96720.416758,-96682.955097,-96682.820785
-95594.638478,-95569.302103,-95569.302103
-95169.483712,-95140.424199,-95140.424199
-96549.151868,-96512.105779,-96511.958971
-96639.254282,-96599.022665,-96598.898098
-96657.499142,-96627.468264,-96627.263603
-96394.927429,-96370.751226,-96370.751226
-96017.310820,-95989.369316,-95989.369316
-95371.526414,-95358.106367,-95356.322322
-96370.711232,-96332.662374,-96332.662374
-96570.981305,-96542.789881,-96542.789881
-96940.837702,-96927.724063,-96927.705144
-95829.249253,-95799.409848,-95795.900499
-95971.433553,-95951.339442,-95946.807208
-95477.306669,-95448.568389,-95446.288491
-96395.756061,-96372.216720,-96372.216720
-96192.003266,-96163.928393,-96163.928393
-94984.553636,-94963.570731,-94963.570731
-96520.315152,-96496.553483,-96496.470911
-96429.800497,-96410.288786,-96410.288786
-96474.991887,-96448.781812,-96448.471746
-95909.884555,-95881.226741,-95880.015058
-95378.170640,-95342.421847,-95342.421847
-96249.641903,-96239.527973,-96239.295050
-94786.465375,-94752.096625,-94751.949334
-95604.421646,-95578.177074,-95578.020938
-96223.232523,-96191.902425,-96191.902425
-96219.972969,-96193.434069,-96190.831048
-94986.411538,-94962.043002,-94961.779837
-96184.508391,-96151.137417,-96150.810442
-95641.623534,-95625.351307,-95624.768050
-96856.053883,-96812.288819,-96812.288819
-96834.652060,-96809.752753,-96809.579705
-95124.061657,-95104.333922,-95103.662278
-96551.499739,-96507.442442,-96507.442442
-95784.048047,-95756.023523,-95755.732248
-94909.314097,-94885.543930,-94885.543930
-95483.550306,-95458.434491,-95457.446164
-95353.313101,-95338.866279,-95338.866279
-95623.290309,-95579.116532,-95578.849370
-94987.519094,-94950.093541,-94949.981495
-97805.271108,-97768.161624,-97768.148388
-96307.883962,-96270.609868,-96270.609868
-94881.295499,-94867.819192,-94867.819192
-96345.973034,-96323.434570,-96323.409413
-96363.727562,-96334.729333,-96334.469569
-96289.365918,-96250.806950,-96250.806950
-96062.289208,-96039.988954,-96039.988954
-96172.095640,-96145.586413,-96145.586413
-95781.704506,-95750.460098,-95750.313665
-95388.896910,-95348.666412,-95348.666412
-95873.686464,-95842.548232,-95842.455328
-95157.911141,-95135.645695,-95135.645695
-95833.897061,-95798.958562,-95798.778526
-96017.486872,-95989.271579,-95988.952590
-95645.397467,-95616.978151,-95616.978151
-95842.223427,-95814.423570,-95814.366760
-96428.721513,-96409.872639,-96409.224483
-96325.374292,-96282.955012,-96282.955012
-95246.355950,-95215.824660,-95215.866071
-95962.673336,-95934.979776,-95934.979775
-95775.439840,-95753.273905,-95752.808629
-96064.799971,-96039.574039,-96039.574039
-95456.297830,-95422.222350,-95422.222351
-94722.479585,-94697.812369,-94697.399011
-95637.279000,-95596.347423,-95596.347423
-96205.241623,-96178.650711,-96178.370999
-96419.650761,-96394.806715,-96394.806716
-95749.370483,-95707.250414,-95707.227930
-96773.793933,-96743.344996,-96743.344996
-94861.281733,-94846.610521,-94846.469093
-96226.888550,-96197.677246,-96197.230718
-95628.864137,-95609.056633,-95608.617310
-96297.459966,-96258.568968,-96258.568968
-95729.203553,-95718.840899,-95718.873776
-95355.189551,-95329.282840,-95329.282840
-94834.432367,-94805.578414,-94805.578410
-94894.370024,-94868.464481,-94868.325643
-95746.322097,-95714.331346,-95714.331345
-95326.369324,-95289.087280,-95288.399146
-96736.302024,-96709.661115,-96709.661115
-95936.119531,-95906.679268,-95906.679268
-95498.334658,-95471.039445,-95471.031902
-96041.246341,-96018.016574,-96018.016574
-95921.738486,-95881.108988,-95880.183261
-94737.895807,-94718.230125,-94718.230125
-95503.900811,-95455.940438,-95455.940438
-96778.426343,-96742.020147,-96742.020147
-95104.230201,-95089.817742,-95089.817742
-96151.725689,-96117.867858,-96117.708498
-95571.329947,-95535.296994,-95534.550718
-95510.679174,-95480.541316,-95480.508881
-96098.049609,-96077.416789,-96077.375705
-95980.382644,-95968.085059,-95968.085058
-95636.687744,-95595.329960,-95594.802574
-95703.457172,-95662.573531,-95661.853346
-95290.429037,-95261.888128,-95260.946291
-96566.515008,-96534.035208,-96534.035208
-96449.834201,-96432.672500,-96432.672500
-96774.067955,-96745.618622,-96745.618622
-95334.469432,-95309.210071,-95309.210071
-96025.006619,-96005.502248,-96005.607340
-95826.818331,-95796.806659,-95796.797351
-95338.420292,-95308.904349,-95308.718191
-96266.679201,-96234.712682,-96234.712682
-95694.497096,-95662.900376,-95662.726550
-96178.481902,-96153.887584,-96153.878797
-95579.375016,-95538.951830,-95538.945323
-96165.036129,-96126.735739,-96126.660179
-96835.165411,-96797.567212,-96796.873641
-95725.245089,-95703.773347,-95702.742285
-95579.958808,-95546.444352,-95546.390821
-96049.450595,-96018.809184,-96018.777615
-95088.531849,-95066.586012,-95063.770042
-95554.522059,-95530.343886,-95530.343886
-96504.450302,-96482.744887,-96482.523439
-95564.042373,-95533.799752,-95533.799752
-95394.361361,-95367.755571,-95367.755571
-96429.908158,-96406.302938,-96406.302938
-96690.603650,-96669.332637,-96669.332637
-95319.682186,-95292.639224,-95292.551232
-95400.046046,-95371.969220,-95370.971347
-95680.549814,-95655.762473,-95655.718022
-95279.000547,-95259.423582,-95259.423582
-95864.733143,-95843.345850,-95843.191594
-95988.845815,-95950.934944,-95950.934944
-95492.814074,-95455.547246,-95455.538531
-96476.510170,-96443.463443,-96443.463444
-97725.351065,-97693.303937,-97693.303937
-96424.610358,-96394.917205,-96394.902947
-95187.813639,-95159.728736,-95159.728736
-96035.679862,-95998.950957,-95998.950989
-96740.716806,-96713.525733,-96713.525658
-95544.613437,-95501.507766,-95501.186658
-95701.138048,-95673.771277,-95673.771277
-96182.886097,-96153.244671,-96150.864964
-95382.844727,-95358.046022,-95357.374094
-96709.795993,-96683.709974,-96683.689882
-96533.473553,-96490.494193,-96489.980350
-94717.897259,-94685.273876,-94685.273876
-95062.250572,-95031.217568,-95030.198162
-95346.159091,-95327.688938,-95327.688938
-95880.383127,-95855.724190,-95855.724191
-95785.308457,-95754.223187,-95754.170170
-96773.513267,-96726.317766,-96726.302082
-96575.192800,-96540.227094,-96539.146612
-96048.759938,-96012.286370,-96012.286370
-95951.571200,-95929.023482,-95927.585358
-95663.248593,-95649.642836,-95649.642836
-97002.726250,-96974.103057,-96974.103057
-95621.279450,-95581.341895,-95581.337848
-96342.459374,-96305.674524,-96305.466905
-96238.912124,-96200.626500,-96199.947597
-95395.449803,-95369.860945,-95369.860945
-95248.218840,-95233.076889,-95233.076889
-95747.083765,-95728.465057,-95726.063895
-96397.390042,-96364.433331,-96364.433331
-95863.203900,-95820.841963,-95820.794057
-96017.982918,-95976.991841,-95975.163150
-97287.119296,-97257.233158,-97257.212154
-95655.780220,-95628.275787,-95628.275787
-95209.442787,-95176.463215,-95175.396146
-96090.618490,-96064.580059,-96064.567171
-95543.650961,-95510.599361,-95509.955631
-95411.733713,-95373.085281,-95373.085281
-96493.785816,-96460.797506,-96460.326970
-95428.583679,-95401.253115,-95401.253114
-96319.292244,-96287.230361,-96285.873609
-94887.618510,-94860.312755,-94860.233328
-96016.239666,-95998.640245,-95998.640245
-96211.481940,-96174.945889,-96174.702278
-96256.567383,-96222.848231,-96221.878795
-95439.148921,-95401.431490,-95401.255029
-95769.087211,-95743.903719,-95743.903719
-97102.469768,-97082.449515,-97082.345202
-95740.544633,-95698.603194,-95698.590371
-95400.689730,-95375.410526,-95374.407322
-95429.485182,-95398.082622,-95397.183966
-96060.142131,-96027.508385,-96027.508385
-96195.513460,-96158.492748,-96158.001827
-96109.404467,-96070.687655,-96070.687655
-95602.765648,-95568.447838,-95568.449730
-95628.096341,-95603.694413,-95603.602992
-95393.803486,-95378.244872,-95378.048761
