null,c0
-98214.915647,-98214.732447
-98737.413959,-98737.413959
-98976.144753,-98975.956825
-99099.505153,-99098.068794
-99187.214203,-99187.214203
-99445.070940,-99444.687781
-98952.374589,-98952.295749
-99464.339016,-99461.940768
-99205.933815,-99205.933815
-99241.197248,-99269.168055
-98211.431432,-98211.301790
-98877.700540,-98877.665580
-98418.513358,-98418.513358
-98717.934676,-98717.678218
-99460.036629,-99460.036629
-99337.257980,-99335.563583
-100145.814718,-100145.814718
-98677.097865,-98677.097865
-99135.465891,-99135.101605
-99380.721597,-99380.721597
-99460.458111,-99460.458111
-99327.664363,-99327.664548
-99438.546628,-99438.340931
-98003.492429,-98003.343367
-98698.051194,-98697.801458
-99881.358397,-99881.302389
-98779.258660,-98779.139167
-99665.684459,-99665.684459
-98783.603314,-98783.524613
-99018.359963,-99017.764486
-98431.659344,-98431.272325
-99171.311462,-99169.213982
-97892.010265,-97890.638495
-99669.188091,-99669.188091
-99249.358419,-99249.358419
-99467.955001,-99467.955001
-98536.395861,-98536.395861
-98732.035511,-98731.876520
-99338.601529,-99338.601529
-98889.927428,-98889.765555
-98691.957420,-98691.957420
-98584.414279,-98584.414807
-99997.328487,-99997.328415
-98526.559382,-98525.486861
-99172.043598,-99170.368978
-99922.936408,-99922.936408
-99423.454669,-99423.322415
-99013.762220,-99013.762220
-98510.764216,-98510.763646
-98682.268436,-98682.148277
-98709.223528,-98709.223528
-99617.680996,-99617.680996
-99690.736926,-99690.064779
-99090.422995,-99090.422995
-98549.951860,-98549.951860
-98642.843024,-98642.843024
-98505.610566,-98505.601618
-98547.032911,-98546.849756
-99059.838397,-99059.658327
-98333.446415,-98333.446415
-99429.025941,-99429.025941
-99135.067739,-99135.067739
-100539.274493,-100539.258466
-98625.025278,-98625.025278
-99245.578273,-99245.578273
-97925.606126,-97925.606126
-98820.048501,-98820.048501
-99708.871319,-99707.974129
-98468.369701,-98468.369701
-97967.300245,-97967.300245
-99719.162938,-99719.088783
-98457.063076,-98457.035611
-99340.184733,-99339.781918
-97911.352168,-97911.347038
-98875.466144,-98875.466144
-99479.965415,-99477.734261
-99313.382426,-99312.776797
-98868.044087,-98868.044087
-99134.762092,-99134.762092
-99961.981178,-99961.981178
-99299.215440,-99298.844227
-99052.967004,-99052.963302
-99116.832294,-99116.325472
-98562.656140,-98560.831747
-99494.891313,-99494.863273
-98882.507871,-98882.507871
-98373.207091,-98372.574861
-99297.603261,-99297.520839
-99404.722111,-99404.722111
-98917.191028,-98917.191028
-99438.255834,-99438.255834
-99301.105093,-99301.105093
-98905.779601,-98905.778757
-99679.743156,-99679.743156
-97758.475105,-97758.475105
-98074.037287,-98074.037287
-98436.257863,-98436.257863
-97567.104288,-97567.104288
-99025.341324,-99025.269388
-98887.901857,-98887.389126
-98621.866101,-98621.866101
-98826.392116,-98825.679051
-99880.950664,-99880.466194
-99542.846435,-99542.846435
-98254.029808,-98252.936081
-98604.667304,-98603.984542
-99653.364448,-99653.160911
-98589.258576,-98589.258576
-99179.268064,-99179.266119
-99594.854324,-99594.189201
-99057.582648,-99057.294779
-100229.478263,-100229.478268
-99130.772194,-99128.236840
-98898.207113,-98896.447099
