s0,s1,s2a,s2b
0.04536,0.85119,0.06181,0.04164
0.95854,0.02721,0.01292,0.00133
0.71615,0.20306,0.07086,0.00993
0.95192,0.03307,0.01339,0.00162
0.97565,0.01419,0.00946,0.00069
0.06863,0.87989,0.00843,0.04305
0.81686,0.16231,0.01289,0.00794
0.96799,0.01990,0.01114,0.00097
0.95854,0.02721,0.01292,0.00133
0.46695,0.35091,0.16497,0.01717
0.20783,0.69553,0.06261,0.03403
0.95852,0.02723,0.01292,0.00133
0.95799,0.02758,0.01309,0.00135
0.01251,0.93959,0.00194,0.04597
0.97451,0.01503,0.00973,0.00074
0.85705,0.12527,0.01155,0.00613
0.74048,0.18320,0.06735,0.00896
0.95767,0.02788,0.01308,0.00136
0.01109,0.93362,0.00961,0.04568
0.97468,0.01484,0.00975,0.00073
0.96699,0.02054,0.01147,0.00100
0.95855,0.02721,0.01292,0.00133
0.94838,0.03495,0.01496,0.00171
0.54443,0.42732,0.00735,0.02091
0.85683,0.12515,0.01189,0.00612
0.93625,0.04626,0.01523,0.00226
0.87613,0.09285,0.02647,0.00454
0.45796,0.36133,0.16303,0.01768
0.96775,0.02012,0.01114,0.00098
0.95853,0.02722,0.01292,0.00133
0.95803,0.02755,0.01308,0.00135
0.95855,0.02721,0.01292,0.00133
0.97430,0.01512,0.00983,0.00074
0.97275,0.01592,0.01056,0.00078
0.97514,0.01456,0.00959,0.00071
0.84909,0.09531,0.05093,0.00466
0.95862,0.02714,0.01291,0.00133
0.00762,0.68649,0.27230,0.03359
0.95855,0.02721,0.01292,0.00133
0.95354,0.03054,0.01443,0.00149
0.94677,0.03652,0.01493,0.00179
0.97482,0.01486,0.00960,0.00073
0.17167,0.73564,0.05671,0.03599
0.86406,0.08128,0.05069,0.00398
0.95853,0.02722,0.01292,0.00133
0.02324,0.88370,0.04983,0.04323
0.09573,0.83802,0.02525,0.04100
0.00908,0.92987,0.01556,0.04549
0.81870,0.11903,0.05645,0.00582
0.80587,0.12927,0.05854,0.00632
0.81000,0.12652,0.05729,0.00619
0.74144,0.16987,0.08038,0.00831
0.95852,0.02723,0.01292,0.00133
0.49212,0.47701,0.00753,0.02334
0.95853,0.02722,0.01292,0.00133
0.21252,0.74225,0.00891,0.03631
0.65283,0.29649,0.03618,0.01451
0.56078,0.41117,0.00793,0.02012
