s0,s1,s2a,s2b
0.02274,0.75243,0.05204,0.17279
0.93689,0.02173,0.03791,0.00347
0.89523,0.04289,0.05459,0.00729
0.93062,0.02717,0.03787,0.00435
0.81998,0.12090,0.03931,0.01981
0.03489,0.80281,0.00976,0.15253
0.47202,0.33924,0.12517,0.06357
0.26510,0.17182,0.52495,0.03814
0.96049,0.01173,0.02602,0.00176
0.62317,0.12597,0.22613,0.02473
0.46199,0.33630,0.13814,0.06357
0.93674,0.02178,0.03800,0.00348
0.93677,0.02178,0.03798,0.00348
0.05954,0.72052,0.07113,0.14880
0.95936,0.01215,0.02665,0.00183
0.90459,0.06160,0.02456,0.00925
0.06036,0.58761,0.21443,0.13761
0.12058,0.50656,0.25805,0.11481
0.95006,0.01600,0.03147,0.00247
0.70399,0.09154,0.18731,0.01716
0.93677,0.02178,0.03798,0.00348
0.95913,0.01208,0.02696,0.00183
0.92535,0.02852,0.04146,0.00467
0.00757,0.56009,0.28129,0.15105
0.72545,0.08569,0.17300,0.01586
0.95006,0.01600,0.03147,0.00247
0.57246,0.26322,0.11706,0.04727
0.75611,0.17458,0.04018,0.02912
0.93668,0.02180,0.03803,0.00348
0.93674,0.02179,0.03799,0.00348
0.93676,0.02178,0.03798,0.00348
0.55081,0.28394,0.11409,0.05115
0.93676,0.02178,0.03799,0.00348
0.93677,0.02178,0.03798,0.00348
0.48463,0.33146,0.12227,0.06163
0.95006,0.01600,0.03147,0.00247
0.71017,0.09007,0.18295,0.01681
0.02224,0.80897,0.01028,0.15851
0.93673,0.02179,0.03799,0.00348
0.94852,0.01642,0.03249,0.00256
0.47690,0.33827,0.12185,0.06298
0.95975,0.01191,0.02654,0.00179
0.12846,0.53148,0.22420,0.11586
0.67129,0.09994,0.20952,0.01925
0.90103,0.03863,0.05378,0.00656
0.52862,0.38773,0.02152,0.06212
0.95004,0.01601,0.03148,0.00248
0.03291,0.20883,0.70060,0.05767
0.89534,0.06884,0.02540,0.01042
0.87777,0.08039,0.02938,0.01247
0.18766,0.66332,0.03245,0.11656
0.54013,0.29256,0.11470,0.05260
0.21392,0.67146,0.00814,0.10649
0.44441,0.36740,0.11987,0.06832
0.94901,0.01627,0.03219,0.00253
0.03448,0.74691,0.05613,0.16249
0.93656,0.02190,0.03805,0.00349
0.82533,0.11845,0.03694,0.01927
0.71191,0.08221,0.19052,0.01536
0.93677,0.02178,0.03798,0.00348
0.00156,0.72733,0.06874,0.20237
0.72814,0.07934,0.17795,0.01457
0.28629,0.18139,0.49259,0.03972
0.96028,0.01192,0.02601,0.00179
0.12047,0.55794,0.20171,0.11988
