Site,Partition,&alpha; ,&beta;<sup>-</sup>,p<sup>-</sup>,&beta;<sup>+</sup>,p<sup>+</sup>,LRT,p-value,# branches under selection,Total branch length
1,1,0.03,0.00,0.23,0.00,0.77,0.00,0.67,0.00,0.19
2,1,0.77,0.77,0.04,0.00,0.96,0.00,0.67,0.00,5.34
3,1,2.05,0.49,0.05,0.00,0.95,0.00,0.67,0.00,12.92
4,1,0.57,0.57,0.65,0.00,0.35,0.00,0.67,0.00,11.42
5,1,162.83,0.67,0.13,0.00,0.87,0.00,0.67,0.00,985.14
6,1,0.24,0.23,0.62,0.00,0.38,0.00,0.67,0.00,4.51
7,1,0.95,0.95,0.57,0.00,0.43,0.00,0.67,0.00,17.45
8,1,0.00,0.00,0.55,1.13,0.45,6.17,0.02,6.00,11.01
9,1,557.33,1.35,0.08,0.00,0.92,0.00,0.67,0.00,3367.95
10,1,1.06,1.06,0.49,0.00,0.51,0.00,0.67,0.00,17.59
11,1,1.16,0.52,0.54,0.42,0.46,0.00,0.67,0.00,17.21
12,1,0.50,0.32,0.62,0.13,0.38,0.00,0.67,0.00,8.39
13,1,1.39,1.39,0.08,0.12,0.92,0.00,0.67,0.00,13.19
14,1,0.25,0.23,0.27,0.23,0.73,0.00,0.67,0.00,6.42
15,1,0.40,0.40,0.12,0.00,0.88,0.00,0.67,0.00,3.45
16,1,1.22,0.16,0.00,0.16,1.00,0.00,0.67,0.00,10.96
17,1,0.79,0.79,0.34,0.01,0.66,0.00,0.67,0.00,10.69
18,1,0.00,0.00,0.24,0.26,0.76,1.93,0.19,2.00,4.32
19,1,0.57,0.00,0.19,0.00,0.81,0.00,0.67,0.00,3.46
20,1,0.64,0.00,0.25,0.00,0.75,0.00,0.67,0.00,3.88
21,1,0.00,0.00,0.57,0.67,0.43,2.50,0.14,3.00,6.26
22,1,0.38,0.38,0.44,0.00,0.56,0.00,0.67,0.00,5.91
23,1,0.50,0.32,1.00,0.32,0.00,0.00,0.67,0.00,9.97
24,1,1.01,1.01,0.11,0.00,0.89,0.00,0.67,0.00,8.52
25,1,0.25,0.09,0.00,0.09,1.00,0.00,0.67,0.00,3.43
26,1,11.15,1.99,0.05,0.00,0.95,0.00,0.67,0.00,69.28
27,1,1.03,0.00,0.19,0.00,0.81,0.00,0.67,0.00,6.25
28,1,8.67,0.01,0.00,0.01,1.00,0.00,0.67,0.00,52.65
29,1,0.89,0.89,0.30,0.00,0.70,0.00,0.67,0.00,11.25
30,1,0.52,0.36,0.60,0.08,0.40,0.00,0.67,0.00,8.48
31,1,0.28,0.28,0.63,0.01,0.37,0.00,0.67,0.00,5.62
